"date","title","comment","creators","isbn","marked"
"05/08/2022","La canzone di Achille","bellissimo.","Madeline Miller",9788831780988," true"
"07/08/2022","Febbre da fieno","strano.","Stanislaw Lem",9788862433778,"false"
"16/08/2022","La formula della bellezza",,"Benoît B. Mandelbrot",9788817074841,"false"
"19/08/2022","The 6th extinction",,"Elizabeth Kolbert",9781408851241,"false"
"22/08/2022","Decifrare la vita",,"Walter Isaacson",9788804739128,"false"
"27/08/2022","Il ritorno di un re","bello.","William Dalrymple",9788845929977,"false"
"28/08/2022","Adelphiana #1",,"AA.VV.",9788845916953,"false"
"01/09/2022","Gli impuniti",,"Carla Del Ponte",9788820066383,"false"
"07/09/2022","Il meraviglioso mondo dei numeri",,"Alex Bellos",9788806195892,"false"
"17/09/2022","Admissions","carino.","Henry Marsh",9781474603874,"false"
"19/09/2022","Caos","interessante.","Marco Malvaldi",9788815280084,"false"
"25/09/2022","Ciclo delle fondazioni","bello, non me l'aspettavo cosi'.","Isaac Asimov",9788804664994,"false"
"29/09/2022","Passoscuro","bof.","Massimo Ammaniti",9788830106956,"false"
"20/10/2022","Sulle origini della vita, del significato e dell'universo","bof.","Sean Carroll",9788806247768,"false"
"22/10/2022","Gli ultimi giorni dell'Europa","bello.","Antonio Scurati",9788830104969,"false"
"26/10/2022","UFO 78","carino.","Wu Ming",9788858440919,"false"
"31/10/2022","confini invisibili","bof.","Barbara Gallavotti",9788804741176,"false"
"14/11/2022","Thinking Fast and Slow","fondamentale, dovrebbe essere insegnato a scuola.","Daniel Kahneman",9780141033570,"false"
"15/11/2022","L'incarico","strano ma carino.","Friedrich Dürrenmatt",9788811671619,"false"
"18/11/2022","Il libro delle nuvole",,"Vincenzo Levizzani",9788842826828,"false"
"19/11/2022","Cuore puro","carino.","Roberto Saviano",9788809977860,"false"
"23/11/2022","Senza Respiro","bello.","David Quammen",9788845937392,"false"
"24/11/2022","Notti in bianco, baci a colazione","carino.","Matteo Bussola",9788806230517,"false"
"25/11/2022","Grand River","bof.","Wu Ming",9788817020435,"false"
"27/11/2022","Houston, abbiamo un problema","bello.","Filippo Bonaventura, Lorenzo Colombo, Matteo Miluzio",9788817162388,"false"
"28/11/2022","Lettera alla tribu' bianca","bello.","Alex Zanotelli",9788807174087,"false"
"30/11/2022","Se la strada potesse parlare","bello.","James Baldwin",9788860445803,"false"
"02/12/2022","Il richiamo del corno","bello.","Sarban",9788845937262,"false"
"07/12/2022","La matematica dell'infinito","bello.","Eugenia Cheng",9788868338084,"false"
"11/12/2022","The every","bello.","Dave Eggers",9788807035159,"false"
"14/12/2022","Curiosi","bof.","Mario Livio",9788817096003,"false"
"15/12/2022","Storie dal mondo nuovo","molto interessante.","Daniele Rielli",9788845931086,"false"
"23/12/2022","Per questo","interessante.","Anna Politkovskaja",9788845937101,"false"
"24/12/2022","Zeitoun","bello.","Eggers",9788807893636,"false"
"28/12/2022","L'uomo che credeva di essere morto","bello.","Vilayanur S. Ramachandran",9788804682714,"false"
"29/12/2022","Le gemelle che non parlavano","bello.","Marjorie Wallace",9788845937484,"false"
"30/12/2022","Perche' non eravamo pronti",,"David Quammen",9788845935473,"false"
"01/01/2023","Tokyo tutto l'anno","carino.","Laura Imai Messina, Igort",9788806252854,"false"
"02/01/2023","Nudge","Interessante, un sacco di spunti da mettere in pratica.","Richard H. Thaler, Cass R. Sunstein",9788807884436,"false"
"06/01/2023","Voli di Fantasia","carino.","Richard Dawkins",9788804749028,"false"
"08/01/2023","Origini","molto bello.","Sean Carroll",9788806247768,"false"
"10/01/2023","La fine del mondo e il paese delle meraviglie","bello.","Haruki Murakami",9788806216979,"false"
"15/01/2023","Biscotti e radici quadrate","carino.","Eugenia Cheng",9788868332501,"false"
"22/01/2023","Cotto",,"Michael Pollan",9788845935510,"false"
"23/01/2023","Codice 612","bof.","Michel Bussi",9788833575605,"false"
"24/01/2023","Solaris","bello.","Stanislaw Lem",9788838929106,"false"
"28/01/2023","De l'infinito universo e mondi","strano.","Sebastiano Vassalli",9788898983353,"false"
"30/01/2023","Viva l'Italia!",,"Roberta Cairoli",9788899270049,"false"
"01/02/2023","La brigata dei bastardi","proprio bello.","Sam Kean",9788845936753,"false"
"02/02/2023","Dialoghi sul male","bello.","Luigi Zoja",9788833937847,"false"
"08/02/2023","Lo sappiamo quando lo vediamo","molto interessante.","Richard Masland",9788806247195,"false"
