"date","title","comment","creators","isbn","marked"
"01/01/1983","Programmazione del 6502","","Rodnay Zaks","9788870561012","false"
"01/01/1987","Lezioni di trigonometria piana","","Roberto Ferrauto","9788853402011","false"
"01/07/1987","Fantozzi","","Paolo Villaggio","9788817107730","false"
"01/07/1987","Il secondo tragico libro di Fantozzi","","Paolo Villaggio","9788817107747","false"
"01/09/1987","Il pensiero geometrico 2","","Cateni, Fortini","9788800470247","false"
"01/01/1988","L'Agnese va a morire","","Renata Viganò","9788806174842","false"
"01/01/1988","Il fu Mattia Pascal","","Luigi Pirandello","9788804359272","false"
"01/01/1988","I Malavoglia","","Giovanni Verga","9788804525196","false"
"01/01/1988","The Old Man and the Sea","","Ernest Hemingway","9780586044681","false"
"01/09/1988","Physica","","Antonio Caforio, Aldo Ferilli","9788800493215","false"
"01/01/1989","Gli acarnesi-Le nuvole-Le vespe-Gli uccelli","","Aristofane","9788811362319","false"
"01/01/1989","L'asino d'oro","","Apuleio","9788811580867","false"
"01/01/1989","Candide, Zadig, Micromega, L'Ingenuo","","Voltaire","9788811360384","false"
"01/01/1989","Come si fa un tema in classe","","Mariateresa Serafini","9788845212147","false"
"01/01/1989","Confessioni di un italiano","","Ippolito Nievo","9788811379577","false"
"01/01/1989","De bello gallico","","Gaio Giulio Cesare","9788845209864","false"
"01/01/1989","Demetrio Pianelli","","Emilio De Marchi","9788817123181","false"
"01/01/1989","Il deserto dei tartari","","Dino Buzzati","9788804668046","false"
"01/01/1989","Fosca","","Iginio Ugo Tarchetti","9788804506577","false"
"01/01/1989","Il marchese di Roccaverdina","","Luigi Capuana","9788811361053","false"
"01/01/1989","Oliver Twist","","Charles Dickens","9780141439747","false"
"01/01/1989","Quaderni di Serafino Gubbio operatore","","Luigi Pirandello","9788804487616","false"
"01/01/1989","Il sentiero dei nidi di ragno","","Italo Calvino","9788804375913","false"
"01/01/1989","Vita di Galileo","","Bertolt Brecht","9788806173630","false"
"01/01/1989","Cristo si è fermato a Eboli","","Carlo Levi","9788806219345","false"
"01/01/1989","Il garofano rosso","","Elio Vittorini","9788804492535","false"
"01/07/1989","Cronache di poveri amanti","","Vasco Pratolini","9788804487760","false"
"01/07/1989","Lo Hobbit","","John R. R. Tolkien","9788845271748","false"
"01/07/1989","La luna e i falò","","Cesare Pavese","9788806325169","false"
"01/07/1989","Madame Bovary","","Gustave Flaubert","9788811360155","false"
"01/07/1989","Il Signore degli anelli","","John Ronald Reuel Tolkien","9788845234200","false"
