title	creators	ean_isbn13
L' altra isola di Robinson	Jean-Luc Coudray, M. S. Da Re	9788895307046
Lettera dalla Cecenia	Philippe Bohelay, Olivier Daubard, R. Chelotti	9788895307008
Nuvole - a occhi perti e chiusi		9788895307039
Nel paese dei pesci prigionieri. Un'infanzia turca	Nedim Gürsel	9788895307022
Le lezioni di Selma	Sarah Z. Lukanic	9788895307015
Al Jazeera. Media e società arabe nel nuovo millennio	Donatella Della Ratta	9788842492825
Gabriella garofano e cannella	Jorge Amado	9788804495925
La masseria delle allodole	Antonia Arslan	9788817016339
Cecenia. Il disonore russo	Anna Politkovskaja, A. Nobécourt, A. Bracci	9788860441058
Gomorra. Viaggio nell'impero economico e nel sogno di dominio della camorra	Roberto Saviano	9788804554509
Un etnologo nel metrò	Marc Augé	9788885861534
Gente. Immagini dal mondo	V. Manferto De Fabianis	9788854010291
L' isola di Arturo	Elsa Morante	9788806175047
L' illusione di Dio. Le ragioni per non credere	Richard Dawkins	9788804581642
La saggezza della folla	James Surowiecki	9788889674147
Il disordine perfetto. L'avventura di un matematico nei segreti della simmetria	Marcus Du Sautoy	9788817039000
Capire l'induismo	Vasudha Narayanan	9788807819803
Leggere Lolita a Teheran	Azar Nafisi	9788845918810
Il racconto del disertore	Joshua Key	9788854501911
Coscienza	Susan Blackmore	9788875780821
Canaglie di tutto il mondo. Nuova ediz.	Marcus Rediker, Ambrosoli Roberto	9788889490037
In viaggio con Erodoto	Ryszard Kapuscinski	9788807819469
Il pallino della matematica. Scoprire il genio dei numeri che è in noi	Stanislas Dehaene	9788860303646
Nel labirinto dell'intelligenza	Hans M. Enzensberger	9788806191887
Verderame	Michele Mari	9788806162818
Grammatica teorico-pratica di arabo letterario moderno	Agnese Manca	9788889670132
Gli oggetti frattali	Benoît B. Mandelbrot	9788806155667
Più grande del cielo. Lo straordinario dono fenomenico della coscienza	Gerald M. Edelman	9788806170721
Spingendo la notte più in là. Storia della mia famiglia e di altre vittime del terrorismo	Mario Calabresi	9788804568421
Mi fido di te	Francesco Abate, Massimo Carlotto	9788806194871
Vado in Senegal! Dakar, i parchi naturali. il Lago Rosa, la Casamance: guida-racconto in 16 itinerari di turismo responsabile	Carlo Giorgi	9788861890220
Prigioniero 325, Delta Camp	Nizar Sassi	9788806184711
Pitagora si diverte. 77 giochi matematici. Vol. 1		9788842496472
Ultima Chiamata	Leo Hickman	9788879289467
Memorie di un soldato bambino	Ishmael Beah	9788854501768
I neuroni specchio. Come capiamo ciò che fanno gli altri	Marco Iacoboni	9788833918709
Nucleare: il frutto proibito	Giancarlo Nebbia	9788845259548
La città fantasma. Manhattan ieri e oggi	Patrick McGrath	9788845258701
Centro permanenza temporanea vista stadio	Daniele Scaglione	9788876418150
Guantanamo	Dorothea Dieckmann, D. Gay, E. Grassi	9788888700885
Vite di scarto	Zygmunt Bauman	9788842082347
Le sette meraviglie del mondo antico		9788809057111
Guerra e mass media		9788843039166
Atlante dell'Islam. La religione, la storia, la vita quotidiana		9788851401740
Africa. Reportages	Pietro Veronese	9788842063933
Spook Country	William Gibson	9780399154300
Stella del mattino	Wu Ming 4	9788806186944
Thailandia		9788866390190
Musicofilia	Oliver Sacks, Isabella C. Blum	9788845924194
Etica pratica	Peter Singer, G. Ferranti	9788820716882
La caccia. Io e i criminali di guerra	Carla Del Ponte, Chuck Sudetic	9788807171444
La nostra specie	Marvin Harris, A. Piccato	9788817128025
Confessioni di un sicario dell'economia. La costruzione dell'impero americano nel racconto di un insider	John Perkins	9788875210694
Avventure di un matematico	Stanislaw M. Ulam	9788838911194
Il granello di sabbia. I pro e i contro della Tobin Tax	Riccardo Bellofiore, Emiliano Brancaccio	9788807710063
L' albero delle storie. Il ritorno in Afghanistan terra di leggenda e patria straziata	Saira Shah	9788845201462
Dieci domande alle quali la scienza non può (ancora) rispondere	Michael Hanlon	9788875780951
La fabbrica dei veleni	Felice Casson	9788820043469
Notte senza fine. Amore, tradimento, incesto	Amin Maalouf, Tahar Ben Jelloun, Hanif Kureishi	9788845233227
Un bel morir	Álvaro Mutis	9788806143220
Baghdad Blog	Salam Pax, E. Barto, I. Rubini	9788820036041
Globalizzazione e criminalità	Stefano Becucci, Monica Massari	9788842069485
Nuovi racconti di Bustos Domecq	Jorge L. Borges, Adolfo Bioy Casares	9788804347781
l' ultimo scalo del Tramp Steamer	Álvaro Mutis, G. Bonetta	9788806152352
Le nozze del poeta	Antonio Skármeta	9788806191566
L' italiano	Sebastiano Vassalli	9788806187972
Superclass. La nuova élite globale e il mondo che sta realizzando	David Rothkopf	9788804581529
Il mago dei numeri	Hans M. Enzensberger	9788806173043
Lo Sposo. manuale d'istruzioni. come sopravvivere o addirittura divertirsi alla cerimonia più spiazzante che l'uomo abbia mai conosciuto	Shandon Fowler	9788874967490
Taxi. Le strade del Cairo si raccontano		9788887847147
Sette Giorni a Dakar	Massimo Giannini, Luca Macchiavelli	9788878760028
L' occidentalista	Abdelmalek Smari	9788895307060
Babele 56. Otto fermate nella città che cambia	Giorgio Fontana	9788861890640
I mostri nel mio frigorifero. Cosa si nasconde dentro merendine, piatti pronti, salumi, bibite, yogurt, sughi...	Stefania Cecchetti	9788861891265
Menzogna e propaganda. Armi di disinformazione di massa	Massimo Chiais	9788883912375
Consumo, dunque sono	Zygmunt Bauman	9788842084440
I viaggi	Ibn Battuta	9788806194956
Il maestro della notte	Xianyong Bai	9788806172831
La storia sta per cominciare. Una biografia per immagini	Ernesto Guevara	9788804548799
Guida al consumo critico 2009	Centro nuovo modello di sviluppo	9788830718005
Shah-in-Shah	Ryszard Kapuscinski, V. Verdiani	9788807015984
Questa notte ho sognato la pace. Diario di una dottoressa vietcong 1968-1970	Thuy T. Dang	9788804573173
Ancient Angkor	Michael A. Freeman	9789748225272
Il meglio di Singapore	Rachael Antony, C. Dapino, P. Belocchio	9788870637533
Nati per credere. Perché il nostro cervello sembra predisposto a fraintendere la teoria di Darwin	Vittorio Girotto, Telmo Pievani, Giorgio Vallortigara	9788875781101
Come resistere nella palude di Italiopoli	Oliviero Beha	9788850217526
Il più grande uomo scimmia del pleistocene	Roy Lewis	9788845908804
Firmino. Avventure di un parassita metropolitano	Sam Savage	9788806192587
La classe	François Bégaudeau	9788806196318
Ebano	Ryszard Kapuscinski	9788807015694
Marco e Mattio	Sebastiano Vassalli	9788806128548
La vita quotidiana delle cortigiane nell'Italia del Rinascimento	Paul Larivaille	9788817124454
La donna che morì dal ridere e altre storie incredibili sui misteri della mente umana	Vilayanur S. Ramachandran, Sandra Blakeslee	9788804517757
l' ottavo giorno della settimana e altri racconti	Marek Hlasko	9788895307053
Di duelli, scacchi e dilemmi. La teoria matematica dei giochi	Roberto Lucchetti	9788861592278
Sarajevo!	Piero Del Giudice	9788884470126
L' importanza di essere umani. Etica del riconoscimento	Davide Sparti	9788807103452
The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe without Design	Richard Dawkins	9780393315707
Teatro	José Saramago, R. Desti, G. Lanciani	9788806142773
L' anno della morte di Ricardo Reis	José Saramago	9788807721700
Linguistica elementare. Con esercizi e test di verifica	Tullio De Mauro	9788842069775
Lezioni sui fondamenti della matematica	Ludwig Wittgenstein	9788833913810
La Repubblica	Platone	9788804355045
Una concretissima utopia	Marco Lombardo Radice	9788863570359
l' informazione deviata. Gli inganni dei mass media nell'epoca della globalizzazione	aa.vv, ZELIG	9788887291803
Agende nascoste	John Pilger	9788887517545
L' inondazione	Evgenij Zamjátin, F. Vasarri	9788871981383
La Vita Quotidiana a Roma negli Anni Santi	Almo Paita	9788817173100
Anatomia del genio. Einstein, Darwin, Dickens e gli altri	Michael J. Howe, S. Lalìa, M. E. Morin	9788842809388
Le Quattro Ragazze Wieselberger	Fausta Cialente	9788804148388
l' Islam e noi. Viaggio tra Europa e Mediterraneo	G. S. Rossi	9788839712097
Pippi Longstocking	Astrid Lindgren, Tony Ross	9780192733061
Frankestein	Mary Shelley	9788440619532
Waiting for Godot.	Samuel Beckett, Manfred Pfister	9783150092149
Seven Tales	Hans Andersen, Eva Le Gallienne (Translator), Maurice Sendak (Illustrator)	9780060237912
La memoria de Shakespeare	Jorge Luis Borges	9788420633343
El Principito	Antoine De Saint-Exupéry	9788420636283
Los cuatro jinetes del apocalipsis	Vicente Blasco Ibáñez	9788846821164
Leyendas de Guatemala	Miguel A. Asturias	9788846821188
Little Mermaid and Other Fairy Tales	h-c-andersen-svend-otto-s-kristian-cordtz	9788756269544
Intelligence americana	A. Castelvecchi	9788876150340
La terra scoppia. Sovrappopolazione e sviluppo	Giovanni Sartori, Gianni Mazzoleni	9788817871730
Buddhismo	Damien Keown	9788806147976
Buddha	Michael Carrithers, M. Rossi	9788806164461
I Variazioni di Morte - I Lupi	Angelo Longoni, Ion Fosse	9788888375632
Televisione e società italiana 1975-2000	Enrico Menduni	9788845245626
Marcos. Il signore degli specchi	Manuel Vázquez Montalbán	9788876846434
EZLN. Documenti e comunicati dal Chiapas insorto (dal 1º gennaio all'8 agosto 1994)	A. García de Leon, F. Lippi	9788886389174
Il medio oriente	Bernard Lewis	9788804388128
Romanzi e saggi	George Orwell	9788804474173
Conversazioni	Jorge L. Borges	9788845245787
Viaggio in Portogallo	José Saramago	9788807722417
Galateo	Giovanni Della Casa	9788876924989
Mille soli	Dominique Lapierre	9788804468806
L' angelo azzurro	Heinrich Mann	9788854113930
Duluth	Gore Vidal	9788881128259
Smells like dead elephants. Rapporto dall'impero del marcio	Matt Taibbi, M. Galli	9788876381096
Utz	Bruce Chatwin	9788845907241
