Date,Title,Comment,Authors,ISBN,Status
17/03/2014,Furore,molto bello.,,,unmatched
22/03/2014,Allucinazioni,bello.,,,unmatched
19/05/2014,Il grande Gatsby,bello.,,,unmatched
08/06/2014,La sezione aurea,interessante.,,,unmatched
01/08/2014,Roderick Duddle,,,,unmatched
12/08/2014,L'armata dei sonnambuli,,,,unmatched
23/03/2015,La ballata di Abu Ghraib,agghiacciante.,,,unmatched
23/04/2016,Prometheus,bello!,,,unmatched
21/05/2016,Franny e Zooey,,,,unmatched
17/07/2016,Obsolescenza programmata,,,,unmatched
24/07/2016,la strage dei congiunitvi,,,,unmatched
01/09/2016,Numeri incredibili,bello.,,,unmatched
18/09/2019,The Testaments,molto bello.,,,unmatched
28/08/2022,Adelphiana #1,,,,unmatched
17/09/2022,Admissions,carino.,,,unmatched
19/09/2022,Caos,interessante.,"Marco Malvaldi, Stefano Marmi",9788815280084,matched
24/09/2022,La seconda fondazione,bello.,,,unmatched
29/09/2022,Passoscuro,bof.,,,unmatched
20/10/2022,"Sulle origini della vita, del significato e dell'universo",bof.,,,unmatched
22/10/2022,Gli ultimi giorni dell'Europa,bello.,,,unmatched
26/10/2022,UFO 78,carino.,"Wu Ming,",9788858440919,matched
31/10/2022,confini invisibili,bof.,,,unmatched
15/11/2022,L'incarico,strano ma carino.,,,unmatched
18/11/2022,Il libro delle nuvole,,,,unmatched
19/11/2022,Cuore puro,carino.,,,unmatched
23/11/2022,Senza Respiro,bello.,,,unmatched
24/11/2022,"Notti in bianco, baci a colazione",carino.,Matteo Bussola,9788806230517,matched
25/11/2022,Grand River,bof.,Wu Ming,9788817020435,matched
27/11/2022,"Houston, abbiamo un problema",bello.,,,unmatched
28/11/2022,Lettera ala tirbu' dei bianchI,bello.,,,unmatched
30/11/2022,Se la strada potesse parlare,bello.,James Baldwin,9788860445803,matched
02/12/2022,Il richiamo del corno,bello.,"Sarban, Roberto Colajanni",9788845937262,matched
07/12/2022,La matematica dell'infinito,bello.,,,unmatched
11/12/2022,The every,bello.,"Dave Eggers, Francesco Pacifico",9788807035159,matched
14/12/2022,Curiosi,bof.,,,unmatched
15/12/2022,Storie dal mondo nuovo,molto interessante.,Daniele Rielli,9788845931086,matched
23/12/2022,Per questo,interessante.,,,unmatched
24/12/2022,Zeitoun,bello.,Eggers,9788807893636,matched
28/12/2022,L'uomo che credeva di essere morto,bello.,,,unmatched
29/12/2022,Le gemelle che non parlavano,bello.,"Marjorie Wallace, Gabriella Luzzani",9788845937484,matched
30/12/2022,Perche' non eravamo pronti,,"David Quammen, Milena Zemira Ciccimarra",9788845935473,matched
01/01/2023,Tokyo tutto l'anno,carino.,"Laura Imai Messina, Igort",9788806252854,matched
06/01/2023,Voli di Fantasia,carino.,,,unmatched
08/01/2023,Origini,molto bello.,,,unmatched
10/01/2023,La fine del mondo e il paese delle meraviglie,bello.,,,unmatched
15/01/2023,Biscotti e radici quadrate,carino.,,,unmatched
22/01/2023,Cotto,,,,unmatched
23/01/2023,Codice 612,bof.,,,unmatched
24/01/2023,Solaris,bello.,,,unmatched
28/01/2023,De l'infinito universo e mondi,strano.,,,unmatched
30/01/2023,Viva l'Italia!,,,,unmatched
01/02/2023,La brigata dei bastardi,proprio bello.,,,unmatched
02/02/2023,Dialoghi sul male,bello.,,,unmatched
08/02/2023,Lo sappiamo quando lo vediamo,molto interessante.,,,unmatched
09/02/2023,I miei giorni alla libreria Morisaki,molto leggero.,"Satoshi Yagisawa, Gala Maria Follaco",9788807034947,matched
11/02/2023,La Panne,,,,unmatched
16/02/2023,I demoni di Salvini,interessante.,,,unmatched
20/02/2023,La vedova,carino.,"José Saramago, Rita Desti",9788807035166,matched
24/02/2023,Imparare,interessante.,,,unmatched
28/02/2023,Metazoa,interessante.,,,unmatched
01/03/2023,The Inhabitable Earth,molto interessante e desolante.,,,unmatched
05/03/2023,Le regole del contagio,interessante anche se un po' di palo in frasca.,"Adam Kucharski, Francesco Peri",9788829706976,matched
06/03/2023,Il mare della tranquillita',carino.,,,unmatched
09/03/2023,Pendulum,interessante.,,,unmatched
12/03/2023,La vita segreta,molto interessante.,,,unmatched
13/03/2023,L'anomalia,carino.,,,unmatched
16/03/2023,La prigione della fede,molto bello.,,,unmatched
22/03/2023,Cantonate,bof.,,,unmatched
24/03/2023,Il dono oscuro,molto bello e interessante.,"John M. Hull, F. Pacifico",9788845934094,matched
27/03/2023,Buchi Bianchi,interessante.,Carlo Rovelli,9788845937538,matched
02/04/2023,Autostop con Buddha,carino.,,,unmatched
04/04/2023,Il calamaro gigante,carino.,Fabio Genovesi,9788858847725,matched
07/04/2023,Zorba il greco,bello.,"Nikos Kazantzakis, N. Crocetti",9788883063299,matched
11/04/2023,I have landed,bello ma prolisso.,,,unmatched
14/04/2023,Dune,molto bello.,,,unmatched
17/04/2023,La terra che sussurra,bof.,,,unmatched
22/04/2023,Filosofia del futuro,,,,unmatched
